"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
99.689759025500393363,0.041417517481844454141,0.041417517481844454141,63.311257055267482485,0.36820452629655375798,0.36820452629655375798,6.1628806735273720108,0.14407952155436626329,1.9268428083690816166,0,600.1113653390593754,0,0.0031544945140273839002,21200.338070459663868,21200.514165334403515,0.51735501169378039776,0.17430411876432572171,0,191,191,3
99.767611089663745361,0.030264148991840527508,0.030264148991840527508,63.338836337789970798,0.26933440302982381009,0.26933440302982381009,6.1839487216782345058,0.10370468663693008238,1.9254417937685111006,0,600.06833974554297129,0,0.0023497385000887938133,15548.548751778900623,15548.694889903068542,0.39579546129061782267,0.12791138747354580119,0,192,192,3
99.823990596904366157,0.021605023302439234356,0.021605023302439234356,63.358681040715048027,0.19241922865671348686,0.19241922865671348686,6.1991153448225446709,0.074897500751131468322,1.9244144933604165892,0,600.03739008487264073,0,0.0018095254116476944262,11129.286682054400444,11129.401717305183411,0.29344236513770738384,0.091594077586023558979,0,193,193,3
99.864507671247707776,0.014942452349446294982,0.014942452349446294982,63.372920517319485612,0.13315380109775745709,0.13315380109775745709,6.2099948634165151873,0.052803319706900594954,1.9236698349619438808,0,600.01508948357445661,0,0.0012416756070390277955,7711.8535714894533157,7711.9416459277272224,0.2114555151829335955,0.06354623247534618713,0,194,194,3
99.893646263756593839,0.010174879437713255786,0.010174879437713255786,63.38322600317205513,0.090705555510827429178,0.090705555510827429178,6.2178600277227511484,0.039525660865022529955,1.9231328631680395524,0,599.99878437369443418,0,0.00092098189539102648382,5258.4889151081442833,5258.5523614957928658,0.14790324327395865112,0.043312411381691617862,0,195,195,3
99.914847584916515189,0.0068057122502281474502,0.0068057122502281474502,63.390827816048641807,0.06068853213085782794,0.06068853213085782794,6.2236483883136433093,0.028409908000253981941,1.9227423296245498285,0,599.98656903157871056,0,0.00071551661217794659819,3520.8061363250017166,3520.8511865586042404,0.10153349337406325503,0.029025411071756934689,0,196,196,3
99.930615960625971184,0.0045242926610800527493,0.0045242926610800527493,63.396604771663497502,0.04035356125341109379,0.04035356125341109379,6.2280334614692351991,0.022036759865000109249,1.9224524669326796822,0,599.97709235797640304,0,0.00027376907412213213888,2342.3368957117199898,2342.3671726137399673,0.068085838786828389857,0.019289695871691492357,0,197,197,3
99.942744634399190318,0.0030626464618461017586,0.0030626464618461017586,63.401166275425886454,0.027321585897742563243,0.027321585897742563243,6.2314825099806707698,0.018529568799099938731,1.9222320869165745449,0,599.96943817573355773,0,0.0004072662806673399416,1586.5528498888015747,1586.572679728269577,0.045566849715214630123,0.013041056607846712723,0,198,198,3
99.952435590303196022,0.002081361291374170773,0.002081361291374170773,63.404910401836673373,0.018570380374682039781,0.018570380374682039781,6.2343020685959178451,0.013867509946160835529,1.9220565410540442208,0,599.96301876923007512,0,0.00044171556934280431506,1078.738979771733284,1078.7518293112516403,0.030378221104001568165,0.0088617523826428623579,0,199,199,3
99.960495324476568157,0.0015409885793726079122,0.0015409885793726079122,63.408099962874317157,0.013750774557159006761,0.013750774557159006761,6.2366945092931498351,0.012859811407557911536,1.9219112090416907712,0,599.95743897369322895,0,0.00013440439912804080791,799.00072525441646576,799.00840240716934204,0.02079612270972575061,0.0065238652809398445243,0,200,200,3
